3437;HC;1
1456;sEA;1
2027;SA;1
1497;HC;1
2604;BT;1
1003;HC;45443
2306;sEA;1
1650;sEA;200000
310;HC;72
467;SA;9
2737;SA;1
1027;BT;9538
779;HC;183
443;SA;1
1656;sEA;200000
2064;HC;1
3136;SA;6
1109;sEA;200000
2701;SA;1
1197;HC;337
334;BT;11
1064;BT;8351
1003;BT;9539
1124;SA;3
2774;HC;504
2964;sEA;200000
2916;BT;22
3437;BT;1
1015;BT;12
706;SA;1
3161;HC;257
2473;SA;1
3185;BT;30
309;HC;1
2547;sEA;1
1339;BT;1
455;SA;9
718;SA;1
767;HC;1
1076;BT;10
2052;HC;1
2190;sEA;200000
2197;SA;200000
2713;SA;1
118;BT;12
3425;HC;17
1867;sEA;1
1340;BT;1
322;BT;1
1185;HC;11260
3173;HC;1
2764;sEA;200000
3057;sEA;1
940;sEA;1
3197;BT;35
1293;sEA;1
2461;SA;1
1136;SA;3
2003;SA;1
2928;BT;21
3449;BT;1
2762;HC;518
780;SA;9
1069;sEA;1
2290;sEA;200000
3124;SA;11
3281;sEA;200000
492;HC;237
2347;sEA;200000
2750;HC;2239
418;SA;1
1052;HC;91
2185;SA;200000
309;BT;1
2039;HC;1
3161;SA;5
1197;SA;5
2064;BT;1
453;sEA;200000
792;BT;1
2027;HC;1
310;BT;10
779;SA;6
480;HC;1
2040;HC;1
1780;sEA;1
2106;sEA;200000
118;HC;114
1352;BT;1
406;SA;1
2173;SA;200000
155;BT;1
3401;BT;1
553;sEA;200000
106;HC;56
131;HC;232
1364;BT;1
694;sEA;200000
3414;sEA;1
1185;SA;12
3148;SA;1
3173;SA;1
431;SA;1
1040;HC;50521
2774;BT;9
2895;SA;22
623;sEA;200000
2749;HC;1
2447;sEA;200000
167;BT;3
1680;sEA;200000
1339;HC;1
1327;SA;1
2052;BT;1
794;sEA;200000
1039;HC;1742
767;SA;1
479;HC;34531
1173;SA;13
2040;BT;1
2834;sEA;200000
2725;HC;1
1027;HC;1070
2003;HC;1
755;SA;1
2871;SA;10
523;sEA;200000
2762;BT;19
1340;HC;1
1376;BT;1
492;BT;8348
2904;BT;1
3425;BT;16
131;BT;13343
455;HC;377
1315;SA;1
780;HC;247
1052;sEA;200000
1497;SA;1
594;sEA;200000
1239;sEA;1
1697;sEA;200000
1388;BT;1
1052;BT;8
467;HC;302
1161;SA;10
3127;sEA;1
1526;sEA;200000
3298;sEA;1
480;BT;1
2749;BT;1
1139;sEA;200000
1626;sEA;200000
1352;HC;1
3040;sEA;200000
3413;BT;1
143;BT;15
1303;SA;1
2360;sEA;200000
3198;sEA;200000
1015;HC;250
2737;HC;1
743;SA;11
2883;SA;1
2039;BT;1
1897;sEA;1
2161;SA;200000
3027;sEA;200000
910;sEA;200000
1039;sEA;200000
792;HC;1
2260;sEA;200000
2750;BT;7426
1040;BT;9149
2015;HC;1
1389;BT;1
2284;sEA;200000
2712;HC;1
14;SA;12
1868;HC;1
191;HC;264
3398;sEA;1
2233;BT;12
1807;sEA;1
2507;BT;1
1390;BT;1
2208;HC;4
3022;sEA;200000
1353;HC;12
3432;sEA;1
1377;BT;1
1582;HC;36247
87;HC;131
130;SA;10
117;SA;3
184;sEA;200000
2043;sEA;1
1580;sEA;200000
1386;sEA;1
105;SA;1
2245;BT;11
2520;BT;12
2004;BT;1
130;sEA;200000
1508;SA;16
1365;HC;19
2724;HC;1
99;HC;214
1594;HC;190383
142;SA;8
1170;sEA;200000
1057;sEA;200000
2748;BT;1
1893;BT;1
3263;sEA;1
2519;BT;1
1328;HC;1
371;sEA;1
166;HC;1
2507;HC;1
2785;BT;9
1377;HC;1
2724;BT;1
2390;sEA;1
1594;BT;4202
1913;sEA;1
1638;sEA;200000
1881;BT;27
2277;sEA;200000
3185;SA;7
711;sEA;200000
1316;HC;303
1533;SA;200000
51;SA;3
1868;BT;1
1298;sEA;200000
1819;SA;1
2221;HC;180
2269;BT;15
2544;BT;1
1844;HC;1
1569;HC;200000
1389;HC;1
1807;SA;1
1304;HC;1
2797;BT;13
1570;HC;170522
927;sEA;1
1856;HC;30
934;sEA;1
1393;sEA;1
178;HC;1
2700;HC;1
2519;HC;1
2811;sEA;1
1521;SA;10
2736;BT;1
2257;BT;9
2532;BT;1
2233;HC;132
129;SA;9
1920;sEA;1
2230;sEA;200000
191;BT;3927
3197;SA;7
503;BT;15
15;sEA;200000
63;SA;1
4;BT;7
178;SA;1
75;BT;1
1569;BT;33
2568;BT;1
1844;SA;1
1328;BT;1
802;BT;1
682;sEA;200000
1533;HC;200000
2532;HC;1
2700;BT;1
2939;sEA;200000
441;sEA;1
2520;HC;72
792;SA;1
1570;BT;29
2785;HC;2527
2300;sEA;200000
1309;sEA;200000
87;BT;10
1582;BT;21
1316;BT;27
2556;BT;1
2581;BT;1
1341;SA;1
1708;sEA;1
493;SA;15
1390;HC;1
864;sEA;1
